entry_step,exit_step,entry_date,exit_date,type,entry_price,exit_price,position_size,notional_size,pnl_usd,pnl_pct,fee,net_pnl
4,5,2001-06-04,2001-06-05,LONG,266.0,266.5,1000.0,5000.0,46.992481203007515,4.6992481203007515,1.0,45.992481203007515
10,12,2001-06-12,2001-06-14,LONG,272.0,276.2,1004.5992481203008,5022.996240601504,387.8048568111445,38.60294117647049,1.0045992481203008,386.80025756302416
15,16,2001-06-19,2001-06-20,LONG,273.8,273.0,1043.2792738766032,5216.396369383016,-76.20739765351482,-7.304601899196597,1.0432792738766032,-77.25067692739142
20,21,2001-06-26,2001-06-27,LONG,276.4,272.8,1035.554206183864,5177.77103091932,-337.19203529865007,-32.5615050651227,1.035554206183864,-338.22758950483393
34,35,2001-07-16,2001-07-17,LONG,267.7,268.0,1001.7314472333804,5008.657236166902,28.064945290439447,2.801643630930253,1.0017314472333805,27.063213843206064
36,37,2001-07-18,2001-07-19,LONG,271.0,269.8,1004.437768617701,5022.188843088505,-111.19237290970753,-11.070110701106906,1.004437768617701,-112.19681067832524
42,44,2001-07-26,2001-07-30,LONG,266.7,265.5,993.2180875498685,4966.0904377493425,-111.72306946567595,-11.248593925759174,0.9932180875498685,-112.71628755322581
45,46,2001-07-31,2001-08-01,LONG,267.1,268.2,981.9464587945458,4909.732293972729,101.098942781165,10.295769374765683,0.9819464587945459,100.11699632237045
47,48,2001-08-02,2001-08-03,LONG,268.3,268.8,991.9581584267828,4959.790792133914,46.2149719729213,4.658963846440551,0.9919581584267828,45.223013814494514
50,51,2001-08-07,2001-08-08,LONG,267.8,268.6,996.4804598082322,4982.402299041161,74.41975054579883,7.468259895444468,0.9964804598082323,73.42327008599061
52,54,2001-08-09,2001-08-13,LONG,273.9,276.2,1003.8227868168312,5019.113934084156,210.73315166837568,20.99306316173797,1.0038227868168312,209.72932888155884
57,58,2001-08-16,2001-08-17,LONG,275.6,279.5,1024.7957197049873,5123.978598524936,362.54565555600755,35.37735849056583,1.0247957197049873,361.5208598363026
64,65,2001-08-27,2001-08-28,LONG,273.0,272.5,1060.9478056886176,5304.739028443088,-48.57819623116381,-4.5787545787545785,1.0609478056886175,-49.63914403685243
68,69,2001-08-31,2001-09-03,LONG,274.7,273.7,1055.9838912849325,5279.919456424663,-96.10337561748567,-9.100837277029488,1.0559838912849326,-97.1593595087706
70,72,2001-09-04,2001-09-06,LONG,272.4,273.4,1046.2679553340554,5231.3397766702765,96.02312365400655,9.177679882525698,1.0462679553340553,94.9768556986725
75,76,2001-09-11,2001-09-12,LONG,287.0,278.5,1055.7656409039225,5278.828204519613,-781.708009380082,-74.0418118466899,1.0557656409039227,-782.7637750209859
79,81,2001-09-17,2001-09-19,LONG,290.5,290.4,977.489263401824,4887.44631700912,-8.41212791223792,-0.8605851979347913,0.9774892634018241,-9.389617175639744
82,84,2001-09-20,2001-09-24,LONG,288.9,289.5,976.55030168426,4882.7515084213,50.70354629721169,5.192107995846511,0.97655030168426,49.726995995527425
86,88,2001-09-26,2001-09-28,LONG,293.3,293.4,981.5230012838126,4907.615006419063,8.366203556797458,0.852369587452829,0.9815230012838128,7.384680555513645
89,90,2001-10-01,2001-10-02,LONG,292.0,289.7,982.261469339364,4911.30734669682,-193.4247756404579,-19.691780821917906,0.982261469339364,-194.40703710979727
93,95,2001-10-05,2001-10-09,LONG,291.2,288.2,962.8207656283842,4814.1038281419205,-247.9792493891786,-25.755494505494504,0.9628207656283841,-248.94207015480697
96,97,2001-10-10,2001-10-11,LONG,285.1,281.5,937.9265586129034,4689.632793064517,-296.0834453706132,-31.567870922483536,0.9379265586129034,-297.0213719292261
102,103,2001-10-18,2001-10-19,LONG,279.7,279.9,908.2244214199807,4541.122107099904,16.235688620306206,1.7876296031461267,0.9082244214199807,15.327464198886226
104,105,2001-10-22,2001-10-23,LONG,275.8,276.2,909.7571678398693,4548.785839199347,32.98611921101587,3.625815808556719,0.9097571678398694,32.076362043176
109,110,2001-10-29,2001-10-30,LONG,279.4,280.7,912.9648040441868,4564.8240202209345,106.19669338380938,11.632068718682996,0.9129648040441869,105.28372857976518
112,113,2001-11-01,2001-11-02,LONG,279.8,280.1,923.4931769021634,4617.465884510817,24.754105885512825,2.680486061472582,0.9234931769021635,23.830612708610662
115,116,2001-11-06,2001-11-07,LONG,280.4,280.9,925.8762381730245,4629.381190865122,41.274796637527835,4.457917261055634,0.9258762381730246,40.34892039935481
119,121,2001-11-12,2001-11-14,LONG,278.6,278.0,929.9111302129601,4649.5556510648,-50.067002703499384,-5.3840631730081006,0.9299111302129601,-50.99691383371234
124,127,2001-11-19,2001-11-22,LONG,273.0,273.1,924.8114388295886,4624.057194147943,8.468969220053102,0.9157509157511238,0.9248114388295886,7.544157781223514
129,130,2001-11-26,2001-11-27,LONG,273.2,273.7,925.5658546077109,4627.829273038555,42.34836450437916,4.575402635431918,0.925565854607711,41.42279864977145
133,134,2001-11-30,2001-12-03,LONG,274.6,277.5,929.7081344726881,4648.5406723634405,245.46190731707702,26.40203932993424,0.9297081344726882,244.53219918260433
138,139,2001-12-07,2001-12-10,LONG,274.8,273.0,954.1613543909485,4770.8067719547425,-156.249130085855,-16.375545851528486,0.9541613543909485,-157.20329144024595
142,143,2001-12-13,2001-12-14,LONG,274.2,278.6,938.4410252469239,4692.2051262346195,376.4716002084699,40.116703136397106,0.938441025246924,375.533159183223
144,148,2001-12-17,2001-12-21,LONG,278.5,278.4,975.9943411652463,4879.971705826231,-8.761170028415334,-0.8976660682228252,0.9759943411652463,-9.73716436958058
159,162,2002-01-07,2002-01-10,LONG,279.0,286.6,975.0206247282882,4875.103123641441,663.9925401375458,68.10035842293925,0.9750206247282882,663.0175195128176
167,168,2002-01-17,2002-01-18,LONG,284.3,283.8,1041.32237667957,5206.61188339785,-45.78448719132826,-4.396763981709462,1.04132237667957,-46.82580956800783
