entry_step,exit_step,entry_date,exit_date,type,entry_price,exit_price,position_size,notional_size,pnl_usd,pnl_pct,fee,net_pnl
1,3,2001-05-30,2001-06-01,LONG,268.41573828725114,268.3111713020832,1500.0,7500.0,-14.60891216297136,-0.973927477531424,1.5,-16.108912162971357
4,5,2001-06-04,2001-06-05,LONG,268.23923209882446,268.18509549226536,1497.5836631755542,7487.9183158777705,-7.55613719591903,-0.5045552633698343,1.4975836631755541,-9.053720859094584
9,10,2001-06-11,2001-06-12,LONG,268.27897406536226,268.3947974319824,1496.2256050466897,7481.128025233448,16.149037341026688,1.079318338528417,1.4962256050466898,14.652811735979999
12,13,2001-06-14,2001-06-15,LONG,268.7645677518885,268.8590508294857,1498.423526807087,7492.117634035435,13.169115588879068,0.8788647103626606,1.4984235268070871,11.67069206207198
24,25,2001-07-02,2001-07-03,LONG,269.95404553924686,269.8932224928989,1500.1741306163976,7500.870653081988,-8.45006420391588,-0.5632722249679032,1.5001741306163976,-9.950238334532278
26,28,2001-07-04,2001-07-06,LONG,269.84051801488414,269.6086536838759,1498.681594866218,7493.4079743310895,-32.19409078595542,-2.1481608165628585,1.498681594866218,-33.69277238082164
29,32,2001-07-09,2001-07-12,LONG,269.5243421541566,269.3385731561896,1493.6276790090944,7468.138395045472,-25.736981217319624,-1.723118925754918,1.4936276790090945,-27.230608896328718
33,35,2001-07-13,2001-07-17,LONG,269.2844570603595,269.1966922855154,1489.5430876746452,7447.715438373226,-12.136739633757845,-0.8147961434740869,1.4895430876746452,-13.62628272143249
40,41,2001-07-24,2001-07-25,LONG,269.3146377602568,269.27994273253523,1487.4991452664303,7437.495726332152,-4.790755574040687,-0.3220677866798102,1.4874991452664306,-6.278254719307117
54,55,2001-08-13,2001-08-14,LONG,269.41575948850306,269.6362687245044,1486.5574070585342,7432.787035292671,30.417637662045518,2.046179819064855,1.4865574070585343,28.931080254986984
56,57,2001-08-15,2001-08-16,LONG,269.8374635375496,270.0168324495314,1490.8970690967822,7454.48534548391,24.776080168311214,1.66182365515824,1.4908970690967822,23.285183099214432
63,64,2001-08-24,2001-08-27,LONG,271.00069612248825,271.0629279128755,1494.3898465616642,7471.949232808321,8.57918051675964,0.5740925325810309,1.4943898465616643,7.084790670197976
66,67,2001-08-29,2001-08-30,LONG,271.1945757004232,271.31302611209384,1495.4525651621939,7477.262825810969,16.32932475879321,1.0919319769278113,1.495452565162194,14.833872193631015
71,74,2001-09-05,2001-09-10,LONG,271.5390448612854,271.6638908137218,1497.6776459912385,7488.388229956192,17.214742750167392,1.149429104203115,1.4976776459912384,15.717065104176154
75,76,2001-09-11,2001-09-12,LONG,272.14125373137136,272.3391807045375,1500.035205756865,7500.176028784325,27.274202628902124,1.8182375003085691,1.500035205756865,25.774167423145258
77,78,2001-09-13,2001-09-14,LONG,272.62432704601343,273.03444265010285,1503.9013308703368,7519.506654351684,56.5589110740529,3.7608126220169757,1.5039013308703368,55.055009743182566
86,88,2001-09-26,2001-09-28,LONG,276.90408807451416,277.87884376613556,1512.1595823318144,7560.797911659072,133.07732018036552,8.800481227990147,1.5121595823318146,131.5651605980337
95,96,2001-10-09,2001-10-10,LONG,280.3661609553942,280.51350988142025,1531.8943564215197,7659.471782107598,20.12751712215156,1.3138972043195662,1.5318943564215197,18.595622765730038
100,103,2001-10-16,2001-10-19,LONG,280.7333635905302,280.73372310302597,1534.683699836379,7673.418499181895,0.04913362987032533,0.0032015476463041694,1.534683699836379,-1.4855500699660538
105,106,2001-10-23,2001-10-24,LONG,280.4438126211782,280.29304057741484,1534.460867325884,7672.3043366294205,-20.623899568266197,-1.3440485845825194,1.5344608673258842,-22.15836043559208
107,109,2001-10-25,2001-10-29,LONG,280.2061023597122,280.10241657034703,1531.1371132605452,7655.685566302726,-14.164320376837004,-0.9250850400114845,1.5311371132605454,-15.69545749009755
113,115,2001-11-02,2001-11-06,LONG,280.09838022303984,280.0836912244146,1528.7827946370305,7643.913973185153,-2.004321512926817,-0.13110570840789,1.5287827946370307,-3.533104307563848
117,119,2001-11-08,2001-11-12,LONG,280.0216621439403,279.9134256700985,1528.252828990896,7641.26414495448,-14.767848323083026,-0.9663223285399853,1.528252828990896,-16.296101152073923
121,124,2001-11-14,2001-11-19,LONG,279.79013060053813,279.3148997463447,1525.8084138180848,7629.042069090424,-64.79063738577551,-4.2463153826532904,1.5258084138180847,-66.3164457995936
126,127,2001-11-21,2001-11-22,LONG,278.96145492606786,278.77900700585593,1515.8609469481457,7579.304734740728,-24.78529490521099,-1.6350638859791697,1.5158609469481457,-26.301155852159134
129,130,2001-11-26,2001-11-27,LONG,278.4340840904567,278.2867275369548,1511.915773570322,7559.57886785161,-20.003899514154927,-1.323082929872251,1.5119157735703221,-21.51581528772525
137,140,2001-12-06,2001-12-11,LONG,277.69563928766615,277.3263735636788,1508.6884012771634,7543.442006385817,-50.15445292892977,-3.32437452866159,1.5086884012771635,-51.66314133020693
141,143,2001-12-12,2001-12-14,LONG,277.2321724532989,277.18330463093537,1500.9389300776324,7504.694650388163,-6.614277156624246,-0.44067596782782753,1.5009389300776326,-8.11521608670188
